rut,cohorte,estado,sigla,creditos,nivel_original,nivel_alumno,nota,oportunidad,estado_aprobacion,max_semestres,label,ultimo_nivel,estado_temporal
346,2011,Desertor,curso_2,6,1,-1,0,,,14,desercion_antes_1s,-1,Desertor
346,2011,Desertor,curso_1,6,1,-1,0,,,14,desercion_antes_1s,-1,Desertor
346,2011,Desertor,curso_3,3,1,-1,0,,,14,desercion_antes_1s,-1,Desertor
385,2011,Desertor,curso_2,6,1,-1,0,,,14,desercion_antes_1s,-1,Desertor
385,2011,Desertor,curso_1,6,1,-1,0,,,14,desercion_antes_1s,-1,Desertor
385,2011,Desertor,curso_3,3,1,-1,0,,,14,desercion_antes_1s,-1,Desertor
467,2011,Desertor,curso_2,6,1,-1,0,,,14,desercion_antes_1s,-1,Desertor
467,2011,Desertor,curso_1,6,1,-1,0,,,14,desercion_antes_1s,-1,Desertor
467,2011,Desertor,curso_3,3,1,-1,0,,,14,desercion_antes_1s,-1,Desertor
654,2012,Desertor,curso_2,6,1,-1,0,,,12,desercion_antes_1s,-1,Desertor
654,2012,Desertor,curso_1,6,1,-1,0,,,12,desercion_antes_1s,-1,Desertor
654,2012,Desertor,curso_3,3,1,-1,0,,,12,desercion_antes_1s,-1,Desertor
30,2012,Desertor,curso_2,6,1,-1,0,,,12,desercion_antes_1s,-1,Desertor
30,2012,Desertor,curso_1,6,1,-1,0,,,12,desercion_antes_1s,-1,Desertor
30,2012,Desertor,curso_3,3,1,-1,0,,,12,desercion_antes_1s,-1,Desertor
429,2012,Desertor,curso_2,6,1,-1,0,,,12,desercion_antes_1s,-1,Desertor
429,2012,Desertor,curso_1,6,1,-1,0,,,12,desercion_antes_1s,-1,Desertor
429,2012,Desertor,curso_3,3,1,-1,0,,,12,desercion_antes_1s,-1,Desertor
158,2013,Desertor,curso_2,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
158,2013,Desertor,curso_1,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
158,2013,Desertor,curso_3,3,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
411,2013,Desertor,curso_2,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
